"Branch_Code","normal_clid_count","hr_clid_count","lat_1","lon_1","lat_2","lon_2","lat_3","lon_3","lat_4","lon_4"
"potential_61",41,3,47.5526222065239,34.4049806856065,47.5526222065239,34.413980685606504,47.5616222065239,34.413980685606504,47.5616222065239,34.4049806856065
"potential_71",33,2,47.5536998738875,34.3903885706001,47.5536998738875,34.3993885706001,47.5626998738875,34.3993885706001,47.5626998738875,34.3903885706001
"potential_72",49,2,47.553683755459,34.3917173184643,47.553683755459,34.4007173184643,47.562683755459,34.4007173184643,47.562683755459,34.3917173184643
"potential_73",62,2,47.5536676216411,34.3930460651712,47.5536676216411,34.4020460651712,47.5626676216411,34.4020460651712,47.5626676216411,34.3930460651712
"potential_74",84,4,47.5536514724339,34.3943748107196,47.5536514724339,34.4033748107196,47.5626514724339,34.4033748107196,47.5626514724339,34.3943748107196
"potential_75",90,7,47.553635307837396,34.3957035551085,47.553635307837396,34.4047035551085,47.5626353078374,34.4047035551085,47.5626353078374,34.3957035551085
"potential_76",93,9,47.553619127851704,34.397032298336796,47.553619127851704,34.4060322983368,47.562619127851704,34.4060322983368,47.562619127851704,34.397032298336796
"potential_77",99,9,47.5536029324767,34.3983610404033,47.5536029324767,34.4073610404033,47.5626029324767,34.4073610404033,47.5626029324767,34.3983610404033
"potential_78",102,8,47.5535867217126,34.3996897813069,47.5535867217126,34.4086897813069,47.5625867217126,34.4086897813069,47.5625867217126,34.3996897813069
"potential_79",93,9,47.5535704955593,34.4010185210466,47.5535704955593,34.4100185210466,47.5625704955593,34.4100185210466,47.5625704955593,34.4010185210466
"potential_80",87,8,47.5535542540168,34.4023472596213,47.5535542540168,34.4113472596213,47.5625542540168,34.4113472596213,47.5625542540168,34.4023472596213
"potential_81",66,6,47.5535379970854,34.4036759970297,47.5535379970854,34.4126759970297,47.5625379970854,34.4126759970297,47.5625379970854,34.4036759970297
"potential_82",47,2,47.5535217247648,34.405004733271,47.5535217247648,34.414004733271,47.5625217247648,34.414004733271,47.5625217247648,34.405004733271
"potential_83",34,2,47.5535054370552,34.4063334683438,47.5535054370552,34.4153334683438,47.5625054370552,34.4153334683438,47.5625054370552,34.4063334683438
"potential_85",34,1,47.5547916243357,34.3744670324944,47.5547916243357,34.3834670324944,47.5637916243357,34.3834670324944,47.5637916243357,34.3744670324944
"potential_86",34,1,47.5547756900831,34.3757958168874,47.5547756900831,34.3847958168874,47.5637756900831,34.3847958168874,47.5637756900831,34.3757958168874
"potential_93",54,2,47.5545832786228,34.3917411400423,47.5545832786228,34.4007411400423,47.5635832786228,34.4007411400423,47.5635832786228,34.3917411400423
"potential_94",68,2,47.554567144299696,34.393069909475,47.554567144299696,34.402069909475,47.5635671442997,34.402069909475,47.5635671442997,34.393069909475
"potential_95",89,4,47.5545509945868,34.3943986777491,47.5545509945868,34.4033986777491,47.5635509945868,34.4033986777491,47.5635509945868,34.3943986777491
"potential_96",97,7,47.5545348294841,34.3957274448637,47.5545348294841,34.4047274448637,47.5635348294841,34.4047274448637,47.5635348294841,34.3957274448637
"potential_97",102,9,47.5545186489917,34.3970562108176,47.5545186489917,34.4060562108176,47.5635186489917,34.4060562108176,47.5635186489917,34.3970562108176
"potential_98",112,9,47.5545024531096,34.3983849756096,47.5545024531096,34.4073849756096,47.5635024531096,34.4073849756096,47.5635024531096,34.3983849756096
"potential_99",112,8,47.5544862418378,34.3997137392387,47.5544862418378,34.4087137392387,47.5634862418378,34.4087137392387,47.5634862418378,34.3997137392387
